time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
141808.0,,s,r,21.55,0.07,mag,,n,n,,,,,,,1.0,n,,LOT,GCN44301,
158410.0,,s,R,21.49,0.05,mag,,n,n,,,,,,,1.0,n,,ZTSh/CrAO 2.6-m,GCN44316,
159192.0,,s,Rc,21.6,0.1,mag,,n,n,,,,,,,1.0,n,,Zeiss-1000 1m (SAO RAS),GCN44304,
160713.0,,s,I,21.59,0.08,mag,,n,n,,,,,,,1.0,n,,ZTSh/CrAO 2.6-m,GCN44316,
164620.0,,s,r,21.85,0.05,mag,AB,n,n,,,,,,,1.0,n,,NOT/ALFOSC,GCN44303,
168221.0,,s,Rc,22.0,0.1,mag,,n,n,,,,,,,1.0,n,,Zeiss-1000 1m (SAO RAS),GCN44304,
190718.0,,s,g,22.51,0.06,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,
190718.0,,s,r,22.1,0.06,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,
190718.0,,s,i,21.87,0.08,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,
190718.0,,s,z,21.55,0.07,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,
197634.0,,s,VT-R,21.5,0.2,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN44314,
250558.0,,s,R,22.11,0.02,mag,,n,n,,,,,,,1.0,n,,ZTSh 2.6-m telescope (CrAO),GCN44353,
255628.0,,s,15.5GHz,0.28,0.07,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,
338188.0,,s,15.5GHz,0.44,0.08,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,
401386.0,,s,R,22.8,,mag,,n,y,,,,,,,1.0,n,,"AZT-33IK 1.5-m telescope (Sayan Solar Observatory, Mondy)",GCN44353,
426028.0,,s,15.5GHz,0.36,0.09,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,
492148.0,,s,10GHz,0.2,,mJy,,n,n,,,,,,,1.0,n,,ATCA,GCN44385,
