time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
141808.0,,s,61145.61180555555,r,21.55,0.07,magnitude,,n,n,,,,,,,1.0,n,,LOT,GCN44301,,
158410.0,,s,61145.80395833333,R,21.49,0.05,magnitude,,n,n,,,,,,,1.0,n,,ZTSh/CrAO 2.6-m,GCN44316,,
159192.0,,s,61145.813009259255,Rc,21.6,0.1,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 1m (SAO RAS),GCN44304,,
160713.0,,s,61145.830613425926,I,21.59,0.08,magnitude,,n,n,,,,,,,1.0,n,,ZTSh/CrAO 2.6-m,GCN44316,,
164620.0,,s,61145.87583333333,r,21.85,0.05,magnitude,AB,n,n,,,,,,,1.0,n,,NOT/ALFOSC,GCN44303,,
168221.0,,s,61145.91751157407,Rc,22.0,0.1,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 1m (SAO RAS),GCN44304,,
190718.0,,s,61146.177893518514,g,22.51,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,,
190718.0,,s,61146.177893518514,r,22.1,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,,
190718.0,,s,61146.177893518514,i,21.87,0.08,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,,
190718.0,,s,61146.177893518514,z,21.55,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN44309,,
197634.0,,s,61146.25793981481,VT-R,21.5,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN44314,,
250558.0,,s,61146.87048611111,R,22.11,0.02,magnitude,,n,n,,,,,,,1.0,n,,ZTSh 2.6-m telescope (CrAO),GCN44353,,
255628.0,,s,61146.92916666666,15.5GHz,0.28,0.07,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,,
338188.0,,s,61147.88472222222,15.5GHz,0.44,0.08,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,,
401386.0,,s,61148.61618055555,R,22.8,,magnitude,,n,y,,,,,,,1.0,n,,"AZT-33IK 1.5-m telescope (Sayan Solar Observatory, Mondy)",GCN44353,,
426028.0,,s,61148.90138888889,15.5GHz,0.36,0.09,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN44379,,
492148.0,,s,61149.666666666664,10GHz,0.2,,mJy,,n,n,,,,,,,1.0,n,,ATCA,GCN44385,,
